SKU,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Costs
SKU76,Supplier 2,Bangalore,985,24,64.3235978,Pending,2.180037452,997.4134501
SKU77,Supplier 1,Kolkata,334,5,42.95244475,Pass,3.055141818,852.5680989
SKU78,Supplier 5,Mumbai,858,21,71.12651472,Pending,4.096881332,323.5922034
SKU79,Supplier 3,Bangalore,228,12,57.87090292,Pending,0.165871627,351.5042193
SKU80,Supplier 3,Chennai,202,5,76.96122802,Fail,2.849662199,787.7798505
SKU81,Supplier 3,Delhi,698,1,19.78959294,Pending,2.547547122,276.7783359
SKU82,Supplier 2,Mumbai,955,26,4.465278435,Pending,4.137877049,589.9785556
SKU83,Supplier 1,Bangalore,443,5,97.7305938,Fail,0.773006134,682.9710182
SKU84,Supplier 5,Chennai,589,22,33.80863651,Pass,4.843456577,465.457006
SKU85,Supplier 5,Chennai,211,2,69.92934552,Fail,1.374429,842.68683
SKU86,Supplier 1,Mumbai,569,18,74.60897,Pass,2.051512931,264.2548898
SKU87,Supplier 3,Chennai,523,17,28.69699682,Fail,3.693737788,879.3592177
SKU88,Supplier 2,Mumbai,953,11,68.18491906,Pending,0.722204402,103.916248
SKU89,Supplier 1,Kolkata,370,11,46.60387338,Pending,1.907665734,517.4999739
SKU90,Supplier 3,Bangalore,585,8,85.67596334,Pass,1.219382224,990.0784725
SKU91,Supplier 4,Delhi,207,28,39.7728825,Pending,0.626001858,996.778315
SKU92,Supplier 2,Mumbai,671,29,62.6126904,Pass,0.333431825,230.0927825
SKU93,Supplier 4,Chennai,824,20,35.63365234,Fail,4.165781795,823.5238459
SKU94,Supplier 2,Delhi,908,14,60.38737861,Pass,1.463607498,846.665257
SKU95,Supplier 4,Mumbai,450,26,58.89068577,Pending,1.21088213,778.8642414
SKU96,Supplier 3,Mumbai,648,28,17.80375633,Pending,3.872047681,188.7421411
SKU97,Supplier 4,Mumbai,535,13,65.76515593,Fail,3.376237835,540.1324229
SKU98,Supplier 5,Chennai,581,9,5.604690864,Pending,2.908122169,882.1988635
SKU99,Supplier 2,Chennai,921,2,38.07289852,Fail,0.346027291,210.743009
